WKN,Basiswert,Emittent,Typ,Bid,Ask,K.O.,Hebel,Laufzeit,Basis-preis,Abstand,Abstand in %,Risk/Reward
JK4RG9,Rheinmetall,JPMBV,Put,13.59,13.61,648.99,3.78,endlos,648.99,131.19000000000005,25.33603707995366,34.70634920634922
HD4ERL,Rheinmetall,UNCR,Put,13.6,13.62,636.1,3.78,endlos,649.76,131.96000000000004,25.484743144071082,34.91005291005292
JK7PLA,Rheinmetall,JPMBV,Put,1.36,1.37,649.68,3.77,endlos,649.68,131.88,25.46929316338355,34.9814323607427
PC8H4C,Rheinmetall,BNP,Put,1.36,1.37,617.48,3.77,endlos,649.97,132.17000000000007,25.525299343375835,35.0583554376658
PC8JLW,Rheinmetall,BNP,Put,1.36,1.37,647.97,3.77,endlos,647.97,130.17000000000007,25.13904982618773,34.52785145888596
SW70AC,Rheinmetall,scoge,Put,1.41,1.42,619.06,3.64,endlos,656.53,138.73000000000002,26.792197759752806,38.112637362637365
VD2S20,Rheinmetall,VON,Put,0.0,0.0,653.51,3.63,endlos,653.51,135.71000000000004,26.208960988798776,37.385674931129486
HD4F1B,Rheinmetall,UNCR,Put,14.19,14.21,654.76,3.62,endlos,654.76,136.96000000000004,26.450366937041338,37.83425414364642
DQ2GUF,Rheinmetall,DZ,Put,14.18,14.22,625.15,3.62,endlos,656.37,138.57000000000005,26.761297798377765,38.279005524861894
PC8JLZ,Rheinmetall,BNP,Put,1.42,1.43,653.97,3.61,endlos,653.97,136.17000000000007,26.297798377752045,37.720221606648224
PC6WTJ,Rheinmetall,BNP,Put,14.25,14.28,654.9,3.61,endlos,654.9,137.10000000000002,26.477404403244503,37.977839335180064
VD2S2X,Rheinmetall,VON,Put,14.35,14.37,656.52,3.58,endlos,656.52,138.72000000000003,26.790266512166866,38.74860335195532
JK3Y9E,Rheinmetall,JPMBV,Put,14.39,14.41,618.8,3.57,endlos,658.39,140.59000000000003,27.151409810737746,39.380952380952394
DQ12UL,Rheinmetall,DZ,Put,14.42,14.46,656.8,3.56,endlos,656.8,139.0,26.844341444573196,39.04494382022472
UM2WSK,Rheinmetall,UBSL,Put,14.43,14.46,655.24,3.56,endlos,655.24,137.44000000000005,26.543066821166487,38.60674157303372
PC8JL0,Rheinmetall,BNP,Put,1.44,1.45,655.97,3.56,endlos,655.97,138.17000000000007,26.68404789494015,38.81179775280901
UM274K,Rheinmetall,UBSL,Put,1.44,1.45,655.24,3.56,endlos,655.24,137.44000000000005,26.543066821166487,38.60674157303372
SW5G7R,Rheinmetall,scoge,Put,1.44,1.45,657.58,3.56,endlos,657.58,139.7800000000001,26.994978756276574,39.264044943820245
PC6V5B,Rheinmetall,BNP,Put,14.55,14.58,626.9,3.53,endlos,659.9,142.10000000000002,27.443028196214765,40.25495750708216
PC7LA7,Rheinmetall,BNP,Put,14.55,14.58,657.94,3.53,endlos,657.94,140.1400000000001,27.06450366937044,39.69971671388105
JK4QS7,Rheinmetall,JPMBV,Put,14.56,14.58,659.16,3.53,endlos,659.16,141.36,27.300115874855162,40.04532577903683
MG22CR,Rheinmetall,MSI,Put,14.61,14.63,659.95,3.52,endlos,659.95,142.1500000000001,27.452684434144476,40.383522727272755
VD2S23,Rheinmetall,VON,Put,14.64,14.66,659.52,3.51,endlos,659.52,141.72000000000003,27.369640787949024,40.37606837606839
JK7PLB,Rheinmetall,JPMBV,Put,1.46,1.47,659.68,3.51,endlos,659.68,141.88,27.400540749324065,40.421652421652425
PC8H4E,Rheinmetall,BNP,Put,1.46,1.47,626.97,3.51,endlos,659.97,142.17000000000007,27.456546929316357,40.50427350427353
PC8JL1,Rheinmetall,BNP,Put,1.46,1.47,657.97,3.51,endlos,657.97,140.17000000000007,27.07029741212825,39.93447293447296
VD2RKC,Rheinmetall,VON,Put,0.0,0.0,626.7,3.51,endlos,659.94,142.1400000000001,27.45075318655854,40.49572649572653
SW838T,Rheinmetall,scoge,Put,14.7,14.73,659.92,3.5,endlos,659.92,142.12,27.44689069138664,40.605714285714285
HD4CL8,Rheinmetall,UNCR,Put,14.71,14.73,659.73,3.5,endlos,659.73,141.93000000000006,27.410196987253784,40.55142857142859
PC6WTK,Rheinmetall,BNP,Put,14.74,14.77,659.9,3.49,endlos,659.9,142.10000000000002,27.443028196214765,40.7163323782235
PC8JL2,Rheinmetall,BNP,Put,1.48,1.49,659.97,3.47,endlos,659.97,142.17000000000007,27.456546929316357,40.97118155619599
JK3VP1,Rheinmetall,JPMBV,Put,14.91,14.93,623.8,3.45,endlos,663.7,145.9000000000001,28.176902278872173,42.289855072463794
UM22CG,Rheinmetall,UBSL,Put,14.93,14.96,660.26,3.44,endlos,660.26,142.46000000000004,27.512553109308623,41.41279069767443
UM3CP2,Rheinmetall,UBSL,Put,1.49,1.5,660.26,3.44,endlos,660.26,142.46000000000004,27.512553109308623,41.41279069767443
PC7LA8,Rheinmetall,BNP,Put,14.94,14.97,661.94,3.44,endlos,661.94,144.1400000000001,27.837002703746645,41.901162790697704
PC68GM,Rheinmetall,BNP,Put,15.57,15.6,636.42,3.3,endlos,669.91,152.11,29.37620702974122,46.0939393939394
JK7PLE,Rheinmetall,JPMBV,Put,1.56,1.57,669.67,3.29,endlos,669.67,151.87,29.329857087678647,46.161094224924014
PC8H4F,Rheinmetall,BNP,Put,1.56,1.57,636.47,3.29,endlos,669.97,152.17000000000007,29.38779451525687,46.25227963525838
